fecha,sku_id,nombre_producto,categoria,plataforma,unidades_vendidas,pvp_base,precio_venta,coste_unitario,margen_bruto,promocion_activa,descuento_pct,precio_decathlon,precio_trailzone,precio_outdoorpro,precio_comp_min,precio_comp_avg,precio_comp_max,precio_mercado_ref,stock_disponible,dias_sin_stock,dia_semana,mes,semana_anio,es_festivo,es_blackfriday,es_navidad,ventas_lag_1,ventas_lag_7,ventas_lag_30,ventas_media_7d,ventas_media_30d,ratio_precio_mercado,diferencia_precio_min,dias_cobertura_stock,ingreso_estimado,margen_estimado_eur,var_precio_decathlon_1d,var_precio_trailzone_1d,var_precio_outdoorpro_1d,var_precio_comp_min_7d,diferencia_precio_avg,alerta_bajada_competidor,alerta_precio_alto,oportunidad_subida_precio,alerta_stockout_riesgo,alerta_exceso_stock
2023-01-31,SKU-001,Mochila trail 20L,Mochilas,Amazon,1,49.99,49.85,18.5,0.63,0,0.0,44.94,50.3,49.21,44.94,48.15,50.3,49.53,82,0,1,1,5,0,0,0,0.0,1.0,0.0,1.14,0.93,1.0353,4.91,71.9,49.85,31.35,0.21,0.2,5.96,2.01,1.7,0,1,0,0,0
2023-02-01,SKU-001,Mochila trail 20L,Mochilas,Amazon,0,49.99,50.86,18.5,0.63,0,0.0,44.75,53.59,49.35,44.75,49.23,53.59,50.1,137,0,2,2,5,0,0,0,1.0,0.0,0.0,1.14,0.97,1.0331,6.11,120.2,0.0,0.0,-0.19,3.29,0.14,1.65,1.63,0,1,0,0,0
2023-02-02,SKU-001,Mochila trail 20L,Mochilas,Amazon,2,49.99,50.97,18.5,0.63,0,0.0,44.68,54.13,49.31,44.68,49.37,54.13,50.14,135,0,3,2,5,0,0,0,0.0,2.0,0.0,1.14,0.97,1.0324,6.29,118.4,101.94,64.94,-0.07,0.54,-0.04,1.7,1.6,0,1,0,0,0
2023-02-03,SKU-001,Mochila trail 20L,Mochilas,Amazon,3,49.99,50.61,18.5,0.63,0,0.0,44.57,51.72,49.58,44.57,48.62,51.72,50.1,132,0,4,2,5,0,0,0,2.0,2.0,2.0,1.14,1.03,1.0409,6.04,115.8,151.83,96.33,-0.11,-2.41,0.27,1.83,1.99,0,1,0,0,0
2023-02-04,SKU-001,Mochila trail 20L,Mochilas,Amazon,0,49.99,50.39,18.5,0.63,0,0.0,44.53,51.76,49.85,44.53,48.71,51.76,50.12,132,0,5,2,5,0,0,0,3.0,3.0,0.0,1.29,1.07,1.0345,5.86,102.3,0.0,0.0,-0.04,0.04,0.27,1.76,1.68,0,1,0,0,0
2023-02-05,SKU-001,Mochila trail 20L,Mochilas,Amazon,1,49.99,49.06,18.5,0.63,0,0.0,44.71,51.55,49.95,44.71,48.74,51.55,49.5,131,0,6,2,5,0,0,0,0.0,0.0,2.0,0.86,1.07,1.0066,4.35,152.3,49.06,30.56,0.18,-0.21,0.1,1.65,0.32,0,0,0,0,1
2023-02-06,SKU-001,Mochila trail 20L,Mochilas,Amazon,0,49.99,45.07,18.5,0.63,1,0.11,45.01,51.88,49.69,45.01,48.86,51.88,47.38,131,0,0,2,6,0,0,0,1.0,0.0,1.0,1.0,1.03,0.9224,0.06,131.0,0.0,0.0,0.3,0.33,-0.26,1.76,-3.79,0,0,0,0,1
2023-02-07,SKU-001,Mochila trail 20L,Mochilas,Amazon,2,49.99,49.16,18.5,0.63,0,0.0,45.09,52.06,48.4,45.09,48.52,52.06,48.78,129,0,1,2,6,0,0,0,0.0,1.0,0.0,1.0,1.0,1.0132,4.07,129.0,98.32,61.32,0.08,0.18,-1.29,0.15,0.64,0,0,0,0,1
2023-02-08,SKU-001,Mochila trail 20L,Mochilas,Amazon,0,49.99,50.02,18.5,0.63,0,0.0,44.94,52.36,48.32,44.94,48.54,52.36,49.17,129,0,2,2,6,0,0,0,2.0,0.0,0.0,1.14,1.07,1.0305,5.08,113.2,0.0,0.0,-0.15,0.3,-0.08,0.19,1.48,0,1,0,0,0
2023-02-09,SKU-001,Mochila trail 20L,Mochilas,Amazon,0,49.99,38.5,18.5,0.63,1,0.24,44.93,52.43,54.77,44.93,50.71,54.77,48.68,129,0,3,2,6,0,0,0,0.0,2.0,1.0,1.14,1.07,0.7592,-6.43,113.2,0.0,0.0,-0.01,0.07,6.45,0.25,-12.21,0,0,1,0,0
