fecha,sku_id,nombre_producto,categoria,plataforma,unidades_vendidas,pvp_base,precio_venta,coste_unitario,margen_bruto,promocion_activa,descuento_pct,precio_tiendanimal,precio_kiwoko,precio_zooplus,precio_comp_min,precio_comp_avg,precio_comp_max,precio_mercado_ref,stock_disponible,dias_sin_stock,dia_semana,mes,semana_anio,es_festivo,es_blackfriday,es_navidad,ventas_lag_1,ventas_lag_7,ventas_lag_30,ventas_media_7d,ventas_media_30d,ratio_precio_mercado,diferencia_precio_min,dias_cobertura_stock,ingreso_estimado,margen_estimado_eur,var_precio_tiendanimal_1d,var_precio_kiwoko_1d,var_precio_zooplus_1d,var_precio_comp_min_7d,diferencia_precio_avg,alerta_bajada_competidor,alerta_precio_alto,oportunidad_subida_precio,alerta_stockout_riesgo,alerta_exceso_stock,ean
2023-01-31,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,62.81,23.31,0.63,0,0.0,56.63,63.38,62.01,56.63,60.67,63.38,62.41,82,0,1,1,5,0,0,0,0.0,1.0,0.0,1.14,0.93,1.0353,6.19,71.9,62.81,39.5,0.26,0.25,7.51,2.53,2.14,0,1,0,0,0,8410054001011
2023-02-01,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,64.09,23.31,0.63,0,0.0,56.39,67.53,62.18,56.39,62.03,67.53,63.13,137,0,2,2,5,0,0,0,1.0,0.0,0.0,1.14,0.97,1.0331,7.7,120.2,0.0,0.0,-0.24,4.15,0.18,2.08,2.05,0,1,0,0,0,8410054001011
2023-02-02,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,64.22,23.31,0.63,0,0.0,56.3,68.21,62.13,56.3,62.21,68.21,63.18,135,0,3,2,5,0,0,0,0.0,2.0,0.0,1.14,0.97,1.0324,7.93,118.4,128.45,81.83,-0.09,0.68,-0.05,2.14,2.02,0,1,0,0,0,8410054001011
2023-02-03,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,3,62.99,63.77,23.31,0.63,0,0.0,56.16,65.17,62.47,56.16,61.26,65.17,63.13,132,0,4,2,5,0,0,0,2.0,2.0,2.0,1.14,1.03,1.0409,7.61,115.8,191.31,121.38,-0.14,-3.04,0.34,2.31,2.51,0,1,0,0,0,8410054001011
2023-02-04,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,63.49,23.31,0.63,0,0.0,56.11,65.22,62.81,56.11,61.38,65.22,63.15,132,0,5,2,5,0,0,0,3.0,3.0,0.0,1.29,1.07,1.0345,7.38,102.3,0.0,0.0,-0.05,0.05,0.34,2.22,2.12,0,1,0,0,0,8410054001011
2023-02-05,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,1,62.99,61.82,23.31,0.63,0,0.0,56.34,64.96,62.94,56.34,61.41,64.96,62.37,131,0,6,2,5,0,0,0,0.0,0.0,2.0,0.86,1.07,1.0066,5.48,152.3,61.82,38.51,0.23,-0.26,0.13,2.08,0.4,0,0,0,0,1,8410054001011
2023-02-06,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,56.79,23.31,0.63,1,0.11,56.71,65.37,62.61,56.71,61.57,65.37,59.7,131,0,0,2,6,0,0,0,1.0,0.0,1.0,1.0,1.03,0.9224,0.08,131.0,0.0,0.0,0.38,0.42,-0.33,2.22,-4.78,0,0,0,0,1,8410054001011
2023-02-07,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,2,62.99,61.94,23.31,0.63,0,0.0,56.82,65.6,60.99,56.82,61.14,65.6,61.47,129,0,1,2,6,0,0,0,0.0,1.0,0.0,1.0,1.0,1.0132,5.13,129.0,123.89,77.27,0.1,0.23,-1.63,0.19,0.81,0,0,0,0,1,8410054001011
2023-02-08,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,63.03,23.31,0.63,0,0.0,56.63,65.98,60.89,56.63,61.16,65.98,61.96,129,0,2,2,6,0,0,0,2.0,0.0,0.0,1.14,1.07,1.0305,6.4,113.2,0.0,0.0,-0.19,0.38,-0.1,0.24,1.86,0,1,0,0,0,8410054001011
2023-02-09,SKU-001,Royal Canin Medium Adult 15kg,Pienso perro,Amazon,0,62.99,48.51,23.31,0.63,1,0.24,56.61,66.06,69.01,56.61,63.9,69.01,61.34,129,0,3,2,6,0,0,0,0.0,2.0,1.0,1.14,1.07,0.7592,-8.1,113.2,0.0,0.0,-0.01,0.09,8.13,0.32,-15.39,0,0,1,0,0,8410054001011
